student_id,nom,prenom,genre,institution_id,institution_name,programme,niveau,annee_inscription,ville_origine,boursier,moyenne_s1,moyenne_s2,nb_absences_s1,nb_absences_s2,statut,annee_academique
ETU-A82070C5,Ben Ali,Yassine,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,L2,2020,Manouba,Oui,9.25,10.9,9,3,actif,2023-2024
ETU-63CC3FAB,Khemiri,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Doctorat,L1,2023,Sousse,Non,15.14,14.92,5,5,actif,2023-2024
ETU-4036CA5A,Jebali,Khaled,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Doctorat,L3,2022,Ariana,Oui,12.66,14.6,10,10,actif,2023-2024
ETU-DB42D1A0,Belhaj,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,L1,2021,Zaghouan,Non,13.68,12.35,5,7,actif,2023-2024
ETU-8B81558A,Khemiri,Rim,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,M1,2021,Bizerte,Non,15.19,14.14,1,0,actif,2023-2024
ETU-903852E8,Ben Ali,Sami,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,L3,2022,Nabeul,Oui,7.84,7.43,11,7,actif,2023-2024
ETU-F99054CD,Hamdi,Nizar,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,M2,2022,Manouba,Non,7.44,7.8,8,3,actif,2023-2024
ETU-2880ABAE,Sfaxi,Mohamed,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Licence,L2,2021,Sousse,Non,4.34,5.88,40,11,abandonne,2023-2024
ETU-388922BA,Chaari,Rania,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Master,M1,2021,Zaghouan,Oui,12.09,13.24,3,3,actif,2023-2024
ETU-E5BDA79F,Belhaj,Nizar,M,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Doctorat,L3,2023,Manouba,Non,8.5,9.63,9,12,actif,2023-2024
ETU-EC6792A9,Chaari,Amira,F,UCAR-FSJPST,"Faculté des Sciences Juridiques, Politiques et Sociales de Tunis",Cycle Ingénieur,L3,2022,Sousse,Non,9.81,10.16,1,3,actif,2023-2024
ETU-617EAB18,Sfaxi,Yassine,M,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L2,2022,Tunis,Non,14.04,15.94,0,2,actif,2023-2024
ETU-24A7D3D1,Trabelsi,Sarra,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L3,2022,Ben Arous,Oui,8.04,9.53,12,15,actif,2023-2024
ETU-C2C38877,Gafsi,Tarek,M,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,M1,2022,Ariana,Non,7.94,7.61,9,2,actif,2023-2024
ETU-305C1908,Sfaxi,Rania,F,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,L2,2023,Zaghouan,Non,15.43,13.96,6,0,actif,2023-2024
ETU-5D179E03,Dridi,Sirine,F,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M2,2024,Sousse,Oui,16.91,16.73,6,8,diplome,2023-2024
ETU-B52521AF,Baccouche,Ines,F,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,L1,2020,Sousse,Oui,17.03,18.13,9,8,actif,2023-2024
ETU-12BA203B,Ayari,Nour,F,UCAR-FSB,Faculté des Sciences de Bizerte,Master,M1,2023,Sousse,Non,7.46,8.78,11,6,actif,2023-2024
ETU-9F101E26,Aloui,Ines,F,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M2,2023,Sfax,Non,11.77,12.85,3,6,diplome,2023-2024
ETU-B28D2A89,Mansouri,Adam,M,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,M1,2023,Nabeul,Oui,9.08,10.85,10,11,actif,2023-2024
ETU-5C634DBD,Khlifi,Sarra,F,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,M1,2022,Monastir,Oui,7.02,7.42,1,1,actif,2023-2024
ETU-16D99D04,Baccouche,Sirine,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L2,2024,Bizerte,Non,12.65,13.9,4,6,actif,2023-2024
ETU-D77595D4,Oueslati,Lina,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L2,2023,Zaghouan,Oui,16.8,16.38,7,5,actif,2023-2024
ETU-A76AE651,Gafsi,Tarek,M,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,L2,2021,Ariana,Non,15.02,14.77,9,8,actif,2023-2024
ETU-D016E340,Belhaj,Mehdi,M,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,M2,2024,Nabeul,Oui,8.26,7.87,1,4,actif,2023-2024
ETU-300B597C,Sfaxi,Adam,M,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,L2,2022,Monastir,Oui,17.16,17.35,8,3,actif,2023-2024
ETU-C227D237,Ben Ali,Nour,F,UCAR-FSB,Faculté des Sciences de Bizerte,Master,L2,2024,Monastir,Non,7.13,8.49,5,8,actif,2023-2024
ETU-96724D05,Mansouri,Lina,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L3,2023,Sousse,Oui,8.28,8.86,6,1,actif,2023-2024
ETU-C305D6CB,Sfaxi,Bilel,M,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M1,2021,Manouba,Non,13.97,12.93,9,0,actif,2023-2024
ETU-543B25D5,Trabelsi,Lina,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,M1,2021,Sfax,Non,12.8,11.52,1,3,actif,2023-2024
ETU-38017139,Mzoughi,Rania,F,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,L2,2023,Ben Arous,Oui,12.82,13.0,10,0,actif,2023-2024
ETU-F50F8BF1,Sfaxi,Mohamed,M,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M2,2022,Tunis,Oui,14.24,13.55,0,3,diplome,2023-2024
ETU-CEF7E2F8,Trabelsi,Tarek,M,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M1,2023,Ben Arous,Non,7.9,9.81,3,3,actif,2023-2024
ETU-F8C1AE76,Jebali,Mohamed,M,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,L1,2023,Bizerte,Non,9.66,8.74,6,0,actif,2023-2024
ETU-B44FC1DD,Zouaghi,Lina,F,UCAR-FSB,Faculté des Sciences de Bizerte,Licence,M2,2021,Sousse,Non,13.51,12.33,1,1,diplome,2023-2024
ETU-235FB68C,Gafsi,Lina,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L2,2020,Tunis,Non,16.28,15.79,12,8,actif,2023-2024
ETU-2A839C1E,Ayari,Yassine,M,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M1,2022,Ben Arous,Oui,11.65,13.53,10,12,actif,2023-2024
ETU-45CA3E54,Oueslati,Mariem,F,UCAR-FSB,Faculté des Sciences de Bizerte,Cycle Ingénieur,L1,2020,Zaghouan,Non,8.73,10.29,3,5,actif,2023-2024
ETU-B2648F25,Belhaj,Salma,F,UCAR-FSB,Faculté des Sciences de Bizerte,Doctorat,M1,2022,Sousse,Oui,17.41,18.46,3,6,actif,2023-2024
ETU-7776076A,Ben Ali,Ahmed,M,UCAR-FSB,Faculté des Sciences de Bizerte,Master,L2,2020,Tunis,Oui,14.57,13.67,11,11,actif,2023-2024
ETU-7D41BFE5,Jebali,Fatma,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,L3,2023,Nabeul,Non,12.41,10.92,3,4,actif,2023-2024
ETU-59E97B14,Chaari,Adam,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,L2,2023,Sousse,Oui,12.01,13.19,12,9,actif,2023-2024
ETU-B4498FB3,Dridi,Mariem,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,M2,2020,Sousse,Non,6.45,7.58,12,10,actif,2023-2024
ETU-953ACD54,Sfaxi,Yassine,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,L1,2020,Sousse,Non,10.83,9.78,5,2,actif,2023-2024
ETU-F2757394,Hamdi,Mohamed,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,M1,2023,Nabeul,Non,12.98,12.76,11,7,actif,2023-2024
ETU-0DCFD217,Dridi,Sarra,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,L2,2020,Sousse,Non,7.14,8.32,12,8,actif,2023-2024
ETU-1051B629,Chaari,Adam,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,L1,2024,Sfax,Oui,12.16,11.37,9,12,actif,2023-2024
ETU-FA4DA619,Baccouche,Rami,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,M1,2023,Zaghouan,Non,11.8,12.3,9,0,actif,2023-2024
ETU-B314CE3A,Trabelsi,Nizar,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,L3,2024,Sfax,Non,12.58,11.31,3,3,actif,2023-2024
ETU-FE04869A,Aloui,Lina,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,L3,2021,Nabeul,Non,16.76,17.34,9,11,actif,2023-2024
ETU-1623A527,Baccouche,Rami,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,L3,2020,Sfax,Non,16.38,17.6,9,12,actif,2023-2024
ETU-216E64BF,Ayari,Sirine,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,L3,2024,Sousse,Non,4.01,3.17,18,18,actif,2023-2024
ETU-72B94630,Mzoughi,Lina,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,L3,2020,Ben Arous,Oui,9.4,9.65,4,3,actif,2023-2024
ETU-15FED92F,Dridi,Khaled,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,M1,2023,Nabeul,Non,16.62,16.17,0,2,actif,2023-2024
ETU-DB7507FC,Khlifi,Lina,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Master,M2,2021,Tunis,Non,15.22,14.92,4,3,actif,2023-2024
ETU-5FB0B1E1,Dridi,Nour,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,M1,2022,Monastir,Non,7.09,7.84,0,1,actif,2023-2024
ETU-4A710908,Khemiri,Maissa,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,L2,2022,Sousse,Non,9.34,9.22,4,4,actif,2023-2024
ETU-34FD7A1C,Zouaghi,Fatma,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Master,L3,2024,Tunis,Oui,9.52,10.53,4,4,actif,2023-2024
ETU-08D20C30,Sfaxi,Sirine,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,L3,2024,Monastir,Oui,7.39,6.15,0,0,actif,2023-2024
ETU-B2F1BF42,Gafsi,Asma,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,M1,2020,Manouba,Non,11.13,11.83,10,4,actif,2023-2024
ETU-24888613,Trabelsi,Adam,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,M2,2020,Tunis,Oui,7.8,7.17,0,0,actif,2023-2024
ETU-2D6812CD,Jebali,Mohamed,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,M2,2023,Tunis,Non,8.8,8.04,11,11,actif,2023-2024
ETU-64FADA13,Khemiri,Salma,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,M2,2021,Sfax,Non,17.04,17.53,1,4,diplome,2023-2024
ETU-ECFEC67D,Ayari,Asma,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,M1,2024,Sfax,Non,13.48,14.72,4,1,actif,2023-2024
ETU-A0FCA3EB,Sfaxi,Maissa,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,L1,2024,Monastir,Non,9.87,10.86,9,1,actif,2023-2024
ETU-B38C020A,Ben Ali,Rami,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,M1,2021,Tunis,Non,7.87,9.0,8,10,actif,2023-2024
ETU-ED3E4EAE,Baccouche,Tarek,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,M1,2023,Ariana,Non,10.79,11.5,5,0,actif,2023-2024
ETU-F00BEF4C,Chaari,Bilel,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Licence,L3,2021,Tunis,Non,9.66,11.58,10,4,actif,2023-2024
ETU-ADFF5B32,Jebali,Mariem,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,M2,2024,Ariana,Non,9.3,10.33,8,6,actif,2023-2024
ETU-F148A28C,Mansouri,Asma,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,L3,2024,Ariana,Non,14.88,13.53,6,1,diplome,2023-2024
ETU-18CD9181,Trabelsi,Sirine,F,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,L1,2022,Ben Arous,Non,14.91,16.19,9,4,actif,2023-2024
ETU-528C838F,Baccouche,Bilel,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,L3,2021,Monastir,Non,11.38,10.17,5,8,actif,2023-2024
ETU-886A2EAB,Oueslati,Tarek,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Doctorat,M2,2023,Bizerte,Non,11.58,13.21,0,1,diplome,2023-2024
ETU-DD2D9C44,Ben Ali,Nizar,M,UCAR-FSEGN,Faculté des Sciences Economiques et de Gestion de Nabeul,Cycle Ingénieur,L3,2022,Ariana,Non,14.9,16.79,5,7,diplome,2023-2024
ETU-B5A532D4,Aloui,Rim,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,L2,2023,Zaghouan,Oui,11.75,11.08,10,9,actif,2023-2024
ETU-CC968C89,Jebali,Asma,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L2,2024,Nabeul,Non,16.37,16.76,1,3,actif,2023-2024
ETU-E8947C1C,Ayari,Ines,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M1,2023,Ben Arous,Oui,8.89,7.54,4,6,actif,2023-2024
ETU-08C53B2F,Khlifi,Sarra,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M2,2021,Manouba,Non,5.75,5.15,30,22,actif,2023-2024
ETU-60532503,Sfaxi,Rami,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M1,2021,Ben Arous,Oui,3.58,4.79,31,33,abandonne,2023-2024
ETU-6F295340,Jebali,Mariem,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2020,Bizerte,Non,12.83,14.03,2,3,actif,2023-2024
ETU-39D43F3E,Ben Ali,Rania,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L2,2024,Manouba,Non,15.4,15.22,7,4,actif,2023-2024
ETU-E99FAE86,Oueslati,Lina,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,L3,2023,Zaghouan,Non,7.47,8.55,3,3,actif,2023-2024
ETU-6EAD3071,Khlifi,Sirine,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L1,2022,Nabeul,Oui,8.99,7.57,7,7,actif,2023-2024
ETU-D3B3CBB7,Trabelsi,Rim,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L2,2023,Bizerte,Non,7.52,7.48,6,7,actif,2023-2024
ETU-FAD01C09,Ben Ali,Yassine,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M1,2020,Sfax,Oui,15.54,14.76,7,9,actif,2023-2024
ETU-8D2F036C,Aloui,Rim,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M2,2024,Zaghouan,Non,5.66,4.98,23,4,actif,2023-2024
ETU-53BFD9C0,Khemiri,Salma,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2022,Monastir,Non,13.62,14.02,7,0,actif,2023-2024
ETU-C0A5AA71,Ayari,Yassine,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L3,2022,Sfax,Non,11.99,13.36,10,11,diplome,2023-2024
ETU-BB6E60D4,Gafsi,Salma,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L2,2023,Manouba,Oui,17.1,15.88,9,4,actif,2023-2024
ETU-A835A7B6,Ayari,Mohamed,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L1,2023,Tunis,Non,13.9,14.5,9,6,actif,2023-2024
ETU-B9B2B729,Khemiri,Tarek,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L1,2020,Monastir,Non,11.5,10.87,2,1,actif,2023-2024
ETU-99E4F0F6,Sfaxi,Ines,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M2,2020,Tunis,Non,12.67,13.2,9,10,diplome,2023-2024
ETU-4572405C,Baccouche,Anis,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,L2,2020,Sousse,Non,4.39,4.81,26,18,abandonne,2023-2024
ETU-2557145B,Khlifi,Amira,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2022,Manouba,Non,11.33,9.89,2,5,actif,2023-2024
ETU-E1072021,Gafsi,Amira,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2024,Manouba,Non,11.48,11.17,3,1,actif,2023-2024
ETU-A64E709B,Zouaghi,Ahmed,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L2,2024,Sousse,Oui,13.38,13.92,10,4,actif,2023-2024
ETU-EB709E79,Belhaj,Maissa,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,L3,2020,Nabeul,Oui,15.29,15.26,7,5,diplome,2023-2024
ETU-506A9B42,Ben Ali,Bilel,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M1,2022,Zaghouan,Non,8.31,9.98,9,3,actif,2023-2024
ETU-FAD6F9BD,Khlifi,Ines,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,L3,2020,Nabeul,Non,12.94,13.06,10,1,actif,2023-2024
ETU-48789886,Mansouri,Rania,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2024,Nabeul,Oui,12.95,13.52,1,3,actif,2023-2024
ETU-5FEBCDEC,Dridi,Mariem,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L1,2021,Bizerte,Non,15.56,16.28,8,8,actif,2023-2024
ETU-0EEC661F,Mzoughi,Ahmed,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2022,Manouba,Non,14.03,13.01,9,12,actif,2023-2024
ETU-BD0FD0F8,Hamdi,Khaled,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,L2,2023,Monastir,Non,8.49,9.1,6,2,actif,2023-2024
ETU-8A3354E9,Oueslati,Khaled,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M1,2023,Ariana,Non,12.58,13.53,3,1,actif,2023-2024
ETU-743D87F6,Sfaxi,Anis,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M2,2023,Tunis,Non,11.61,13.04,6,7,diplome,2023-2024
ETU-457D424A,Khlifi,Sirine,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,L1,2022,Ben Arous,Non,17.06,18.24,1,2,actif,2023-2024
ETU-36AC4C2A,Oueslati,Salma,F,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Urbanisme,M2,2022,Monastir,Non,10.83,11.16,5,2,diplome,2023-2024
ETU-AAFC6DBF,Ayari,Anis,M,UCAR-ENAU,Ecole Nationale d'Architecture et d'Urbanisme de Tunis,Architecture,M1,2022,Nabeul,Oui,13.33,14.11,7,2,actif,2023-2024
ETU-30ED58A7,Jebali,Amira,F,UCAR-EPT,Ecole Polytechnique de Tunisie,Licence,L3,2023,Ariana,Oui,8.27,8.36,12,13,actif,2023-2024
ETU-F4465E9C,Khlifi,Nizar,M,UCAR-EPT,Ecole Polytechnique de Tunisie,Licence,M1,2021,Monastir,Oui,9.44,10.48,4,2,actif,2023-2024
ETU-2F805FB7,Khlifi,Nizar,M,UCAR-EPT,Ecole Polytechnique de Tunisie,Master,M1,2021,Tunis,Non,7.08,6.16,12,0,actif,2023-2024
ETU-7E6450BE,Oueslati,Maissa,F,UCAR-EPT,Ecole Polytechnique de Tunisie,Cycle Ingénieur,L3,2020,Monastir,Non,13.08,11.84,1,2,diplome,2023-2024
ETU-07A560C3,Dridi,Salma,F,UCAR-EPT,Ecole Polytechnique de Tunisie,Doctorat,L3,2024,Tunis,Non,9.69,10.0,12,12,actif,2023-2024
ETU-F05F4875,Ayari,Fatma,F,UCAR-EPT,Ecole Polytechnique de Tunisie,Master,M2,2022,Sousse,Non,9.49,8.01,3,4,actif,2023-2024
